,id,Unnamed: 0,pmid,date,epubdate,journal_abbr,authors,last_author,title,volume,issue,pages,language,nlmuniqueid,issn,essn,study_design,recordstatus,pubstatus,ArticleIds,doi,history,references,hasabstract,pmcrefcount,journal_full,elocationid,so,abstract,year,source,subgroup
356,357,166,16167266,2005 Sep,,Sportverletz Sportschaden,"['Pförringer W', 'Kremer C']",Kremer C,"[Subsequent treatment of surgically managed, fresh, anterior cruciate ligament ruptures--a randomized, prospective study].",19,3,134-9,['German'],8904133,0932-0555,,"['Clinical Trial', 'Journal Article', 'Randomized Controlled Trial']",PubMed - indexed for MEDLINE,ppublish,"['16167266', '10.1055/s-2005-858472']",10.1055/s-2005-858472,"['2005/09/17 09:00', '2005/11/16 09:00', '2005/09/17 09:00']",[],1,0,Sportverletzung Sportschaden : Organ der Gesellschaft fur Orthopadisch-Traumatologische Sportmedizin,,2005 Sep;19(3):134-9,"The prospective study examined two different postoperative treatments on 46 patients with acute and isolated disruption of the anterior cruciate ligament (acl), who were treated with reconstruction and augmentation using the semitendinosus-tendon. The patients were randomised and divided into two groups either to use a postoperative brace (Donjoy Ind.) set at full extension (group A) or to use the same brace set at a flexion of 20 degrees (group B) on the first 3 days after surgery. All patients undertook a standard ""accelerated"" rehabilitation protocol and were evaluated after 3, 6 and 12 months after surgery. The results were as follow: the patients of group A reached the full extension faster than group B without any loss of knee stability. Postoperative extension even led to an earlier return to work and sport activities. The muscle strength side-to-side difference (Cybex-measurement) was lower in group A. The severity and intensity of postoperative pain, swelling and giving-way was reduced in group A as was the risk of arthrofibrosis. Evaluated with the scoring scales of the ""Orthopadische Arbeitsgruppe Knie"" (OAK), the ""International Knee Documentation Committee"" (IKDC), the Tegner activity score and the Lysholm score, the clinical outcome and activity-level were higher in group A than in group B. This prospective study shows, that immediate postoperative extension, compared to the postoperative flexion of 20 degrees, reduces the term of rehabilitation and optimizes the operative results after acl-reconstruction.",2005,pubmed,ht
357,358,167,16075231,2005 Dec,2005 Aug 2,Int Orthop,"['Sato N', 'Higuchi H', 'Terauchi M', 'Kimura M', 'Takagishi K']",Takagishi K,Quantitative evaluation of anterior tibial translation during isokinetic motion in knees with anterior cruciate ligament reconstruction using either patellar or hamstring tendon grafts.,29,6,385-9,['English'],7705431,0341-2695,1432-5195,"['Journal Article', 'Randomized Controlled Trial']",PubMed - indexed for MEDLINE,ppublish+epublish,"['16075231', 'PMC2231574', 'pmc-id: PMC2231574;', '10.1007/s00264-005-0011-9']",10.1007/s00264-005-0011-9,"['2005/05/27 00:00', '2005/06/20 00:00', '2005/08/03 09:00', '2006/09/13 09:00', '2005/08/03 09:00', '2006/12/01 00:00']",[],1,25,International orthopaedics,,2005 Dec;29(6):385-9,"We studied 79 patients with unilateral injury to the anterior cruciate ligament (ACL). The patients were randomly allocated to reconstruction with autologous patellar bone-tendon-bone (BTB) grafts (49 knees) or hamstring tendon (ST) grafts (30 knees). We measured anterior tibial translation (ATT) during isokinetic concentric contraction exercise 18-20 months after surgery using a computerized electrogoniometer. In both groups the highest ATT during exercise was observed at a knee flexion of about 20 degrees and was 13.5+/-3.0 mm in the BTB group and 13.9+/-3.4 mm in the ST group. There was no difference in the ATT between the reconstructed and healthy knees. For a range of knee flexion between 30 and 50 degrees the ATT in the ST group was significantly higher on the reconstructed side than on the healthy side. In the BTB group, the mean ATT in the reconstructed group was similar to that on the healthy side at a knee flexion angle between 0 and 90 degrees .",2005,pubmed,ht
358,359,168,15827356,2005 Jun,2005 Apr 12,Am J Sports Med,"['Karahan M', 'Erol B', 'Bekiroğlu N', 'Uyan D']",Uyan D,Effect of drain placed in the donor site in the early postoperative period after arthroscopically assisted anterior cruciate ligament reconstruction with quadrupled hamstring tendons.,33,6,900-6,['English'],7609541,0363-5465,,"['Clinical Trial', 'Journal Article', 'Randomized Controlled Trial']",PubMed - indexed for MEDLINE,ppublish+epublish,"['15827356', '10.1177/0363546504271503', '0363546504271503']",10.1177/0363546504271503,"['2005/04/14 09:00', '2005/09/10 09:00', '2005/04/14 09:00']",[],1,0,The American journal of sports medicine,,2005 Jun;33(6):900-6,"BACKGROUND: No scientific study has addressed the effects of the routine use of postoperative drains in the donor site after arthroscopic anterior cruciate ligament reconstruction using hamstring tendons. HYPOTHESIS: Patients who have drains placed in their donor sites have less lower extremity edema, more motion, and more comfort in the early postoperative period. STUDY DESIGN: Randomized controlled clinical trial; Level of evidence, 1. METHODS: Thirty-four patients undergoing arthroscopically assisted quadruple hamstring tendon anterior cruciate ligament reconstruction were randomly assigned to either receive a drain for 24 hours placed at the donor site (17 patients) or have no drain at the donor site (17 patients). Data were collected on postoperative days 1, 3, 5, and 7 regarding knee flexion, knee extension, thigh circumference, leg circumference, and visual analog scale (measuring pain). RESULTS: In the study group versus the control group, there were increased knee flexion measurements on postoperative day 7 (84 degrees vs 69 degrees , P < .05); smaller thigh circumference measurements on postoperative day 7 (36.8 vs 40.1 cm, P < .05); smaller leg circumference measurements on postoperative days 3 (33.2 vs 36.4 cm, P < .05), 5 (32.7 vs 36.0 cm, P < .05), and 7 (31.8 vs 35.7 cm, P < .001); and a lower visual analog scale score on postoperative days 3 (40.38 vs 57.50, P = .001), 5 (38.46 vs 60.35, P = .001), and 7 (38.07 vs 61.43, P = .001). CONCLUSION: Drain placement at the donor site after anterior cruciate ligament reconstruction gives more comfort to the patient and provides better flexion within the first week.",2005,pubmed,ht
359,360,169,15800520,2005 Apr,,Arthroscopy,"['Ibrahim SA', 'Al-Kussary IM', 'Al-Misfer AR', 'Al-Mutairi HQ', 'Ghafar SA', 'El Noor TA']",El Noor TA,Clinical evaluation of arthroscopically assisted anterior cruciate ligament reconstruction: patellar tendon versus gracilis and semitendinosus autograft.,21,4,412-7,['English'],8506498,0749-8063,1526-3231,"['Comparative Study', 'Journal Article', 'Randomized Controlled Trial']",PubMed - indexed for MEDLINE,ppublish,"['15800520', '10.1016/j.arthro.2004.12.002', 'S0749806304013908']",10.1016/j.arthro.2004.12.002,"['2005/04/01 09:00', '2006/02/16 09:00', '2005/04/01 09:00']",['Arthroscopy. 2006 Apr;22(4):465;author reply 465-6. doi: 10.1016/j.arthro.2005.12.055. PMID: 16581467'],1,0,Arthroscopy : the journal of arthroscopic & related surgery : official publication of the Arthroscopy Association of North America and the International Arthroscopy Association,,2005 Apr;21(4):412-7,"PURPOSE: To evaluate the clinical results of anterior cruciate ligament (ACL) reconstruction in patients with ACL-deficient knee in 2 similar groups of patients. TYPE OF STUDY: A prospective randomized comparison of patellar tendon (PT) versus semitendinosus and gracilis tendon (STG) autografts for ACL reconstruction. METHODS: Between 1994 and 1996, 85 consecutive male patients with chronic ACL-deficient knees underwent arthroscopically assisted reconstruction with either autologous PT or double-loop STG (4-strand) graft. PT grafts were used in patients with even-numbered birth dates and STG grafts for those with odd-numbered birth dates. Preoperatively, no significant differences between the 2 groups were noted with respect to age, level of activity, and degree of laxity (chi-square analysis). A standardized rehabilitation program was used for both groups postoperatively that included immediate active extension and early weight bearing and gradual flexion. Return to sports was permitted 8 months postoperatively. Assessment of the patients was carried out using a questionnaire, clinical assessment, Lysholm knee scores, the International Knee Documentation Committee scale, and radiological examination. RESULTS: At a mean follow-up of 81 months, there was no significant difference between the 2 groups with respect to subjective complaints (recurrent giving way, functional level) or objective laxity evaluation, including KT-1000 measurement or return to sports. Loss of extension of < or =5 degrees was greater in the PT group (12 patients, 30 %) than in the STG group (8 patients, 17 %). There was loss of flexion of < or =15 degrees in 5 patients (12 %) in the PT group and 1 patient (2.2 %) in the STG group. Anterior knee pain was recorded in 10 patients (24 %) in the PT group and 3 patients (5 %) in the STG group. The Lysholm knee score was 91.6 and 92.7 for the PT and STG groups, respectively, and the Tegner activity score decreased from 8.9 preoperatively for both groups to 7.9 for the PT group and 7.8 for the STG group. CONCLUSION: In this study, the 2 groups had comparable results in terms of patient satisfaction, activity level, and knee function. Our study showed that patellofemoral problems and loss of knee motion are more frequent in patients with PT grafts than in those with STG grafts. LEVEL OF EVIDENCE: Level I, Randomized Controlled Trial.",2005,pubmed,ht
360,361,170,15756179,2005 Mar,,Arthroscopy,"['Gobbi A', 'Domzalski M', 'Pascual J', 'Zanazzo M']",Zanazzo M,Hamstring anterior cruciate ligament reconstruction: is it necessary to sacrifice the gracilis?,21,3,275-80,['English'],8506498,0749-8063,1526-3231,"['Comparative Study', 'Journal Article', 'Randomized Controlled Trial']",PubMed - indexed for MEDLINE,ppublish,"['15756179', '10.1016/j.arthro.2004.10.016', 'S0749806304012277']",10.1016/j.arthro.2004.10.016,"['2005/03/10 09:00', '2006/01/28 09:00', '2005/03/10 09:00']",[],1,0,Arthroscopy : the journal of arthroscopic & related surgery : official publication of the Arthroscopy Association of North America and the International Arthroscopy Association,,2005 Mar;21(3):275-80,"PURPOSE: The purpose of this study was to determine if there was a difference in the clinical results of anterior cruciate ligament (ACL) reconstruction when using the semitendinosus tendon (ST) alone versus the semitendinosus and gracilis (STG) construct. TYPE OF STUDY: Prospective randomized study. METHODS: We prospectively followed up a group of 97 patients who underwent reconstruction with either an ST graft (50 patients) or STG graft (47 patients). The patients were evaluated according to standard knee scales (IKDC, Noyes, Lysholm, Tegner), self-evaluation score (SANE), clinical findings, computerized knee laxity analysis, and functional tests. Isokinetic flexion, extension, and internal rotation-external rotation testing were also performed. The results were subjected to statistical analysis. RESULTS: We did not find any significant difference between the 2 groups according to the standard knee scores; self-evaluation score; clinical findings; computerized knee laxity analysis; flexion, extension, and external rotation strengths; or functional tests. However, we did note that the internal rotation torque deficit was significantly higher in the STG group (P = .039). Likewise, the external-to-internal rotation ratio was significantly greater in the STG group (P = .006). CONCLUSIONS: Although there is not much clinical difference when using the ST alone versus the STG construct, internal rotation weakness following harvest of 2 tendons may need to be evaluated further. We suggest that, whenever possible, only 1 tendon should be used when performing anterior cruciate ligament reconstruction with hamstring tendons. LEVEL OF EVIDENCE: Level I, Randomized Controlled Study.",2005,pubmed,ht
361,362,171,15650664,2005 Jan,,Arthroscopy,"['Laxdal G', 'Kartus J', 'Hansson L', 'Heidvall M', 'Ejerhed L', 'Karlsson J']",Karlsson J,A prospective randomized comparison of bone-patellar tendon-bone and hamstring grafts for anterior cruciate ligament reconstruction.,21,1,34-42,['English'],8506498,0749-8063,1526-3231,"['Clinical Trial', 'Comparative Study', 'Journal Article', 'Randomized Controlled Trial', ""Research Support, Non-U.S. Gov't""]",PubMed - indexed for MEDLINE,ppublish,"['15650664', '10.1016/j.arthro.2004.09.014', 'S0749806304009661']",10.1016/j.arthro.2004.09.014,"['2005/01/15 09:00', '2005/12/13 09:00', '2005/01/15 09:00']",[],1,0,Arthroscopy : the journal of arthroscopic & related surgery : official publication of the Arthroscopy Association of North America and the International Arthroscopy Association,,2005 Jan;21(1):34-42,"PURPOSE: The aim of this study was to compare the results after arthroscopic anterior cruciate ligament (ACL) reconstruction using central-third, bone-patellar tendon-bone (BPTB group), 3-strand semitendinosus (ST group), or 4-strand semitendinosus/gracilis (ST/G group) autografts. TYPE OF STUDY: Prospective randomized trial. METHODS: A randomized series of 134 patients, all with unilateral ACL rupture was included in the study. In all 3 groups, interference screw fixation of the graft was used at both ends and 125 of 134 (93%) of the patients returned for the follow-up examination after 26 months (range, 20 to 43 months). The preoperative assessments in all 3 groups were similar in terms of gender, Tegner activity level, Lysholm score, KT-1000 measurements, 1-leg hop test, and the knee-walking test. RESULTS: At follow-up, the knee-walking test was significantly worse in the BPTB group than in the ST group (P = .0004) and ST/G group (P < .0001). Furthermore, the knee-walking test was significantly worse at follow-up than preoperatively in the BPTB group (P < .0001). The corresponding findings were not made in the other 2 groups. A significant reduction in knee laxity and an increase in activity level compared with the preoperative assessments were found in all 3 groups, without any significant differences between the groups. CONCLUSIONS: Two years after ACL reconstruction, the use of ST and ST/G autografts rendered significantly less discomfort during the knee-walking test than the use of BPTB autografts. However, in terms of functional outcome and knee laxity, the groups displayed no significant differences. LEVEL OF EVIDENCE: Level I.",2005,pubmed,ht
362,363,172,15611004,2005 Jan,,Am J Sports Med,"['Hill PF', 'Russell VJ', 'Salmon LJ', 'Pinczewski LA']",Pinczewski LA,The influence of supplementary tibial fixation on laxity measurements after anterior cruciate ligament reconstruction with hamstring tendons in female patients.,33,1,94-101,['English'],7609541,0363-5465,,"['Clinical Trial', 'Journal Article', 'Randomized Controlled Trial', ""Research Support, Non-U.S. Gov't""]",PubMed - indexed for MEDLINE,ppublish,"['15611004', '10.1177/0363546504268036']",10.1177/0363546504268036,"['2004/12/22 09:00', '2005/03/16 09:00', '2004/12/22 09:00']",[],1,0,The American journal of sports medicine,,2005 Jan;33(1):94-101,"BACKGROUND: Female patients undergoing arthroscopic anterior cruciate ligament reconstruction with a hamstring tendon graft developed increased postoperative laxity compared to male and female patients who had reconstruction using a patellar tendon graft. This difference may be due to graft slippage in less dense female tibial bone. HYPOTHESIS: Reinforcement of tibial fixation of the hamstring tendon graft in women by supplementary methods may reduce laxity. STUDY DESIGN: Randomized controlled clinical trial; Level of evidence, 2. METHODS: Fifty-six female patients divided into 2 groups (standard tibial fixation with 7 x 25-mm metal interference screw versus metal interference screw with supplementary staple fixation) were followed for 2 years. RESULTS: After 2 years, the mean side-to-side difference using KT-1000 arthrometer manual maximum measurements was 1.8 mm (standard group) and 1.1 mm (staple group) (P=.05). The percentage of patients with a side-to-side difference of <3 mm did not differ significantly between the 2 groups (P=.66): 88.8% of the standard group versus 90.5% of the staple group. A grade 0 Lachman test result was present in 63% of the standard group and 86% of the staple group (P=.04). Kneeling pain was experienced by 7% of the standard group and 29% of the staple group (P=.05). CONCLUSIONS: Supplementary tibial fixation in female patients undergoing anterior cruciate ligament reconstruction with hamstring tendon graft in addition to a single-size screw significantly improves laxity measurements and clinical stability assessment 2 years after surgery. However, this improvement is at the cost of increased kneeling pain.",2005,pubmed,ht
363,364,173,15466722,2004 Oct,,J Bone Joint Surg Am,"['Aglietti P', 'Giron F', 'Buzzi R', 'Biddau F', 'Sasso F']",Sasso F,"Anterior cruciate ligament reconstruction: bone-patellar tendon-bone compared with double semitendinosus and gracilis tendon grafts. A prospective, randomized clinical trial.",86,10,2143-55,['English'],0014030,0021-9355,,"['Clinical Trial', 'Comparative Study', 'Journal Article', 'Randomized Controlled Trial']",PubMed - indexed for MEDLINE,ppublish,"['15466722', '86/10/2143']",,"['2004/10/07 09:00', '2004/11/04 09:00', '2004/10/07 09:00']",['J Bone Joint Surg Am. 2005 Aug;87(8):1882-3; author reply 1883. doi: 10.2106/00004623-200508000-00033. PMID: 16085632'],1,0,The Journal of bone and joint surgery. American volume,,2004 Oct;86(10):2143-55,"BACKGROUND: The choice of graft for anterior cruciate ligament reconstruction is a matter of debate, with patellar and hamstring tendons being the two most popular autologous graft options. The objective of this study was to determine in a prospective, randomized clinical trial whether two grafts (bone-patellar tendon-bone or doubled hamstring tendons) fixed with modern devices affect the two-year minimum clinical and radiographic outcomes of anterior cruciate ligament reconstruction. METHODS: One hundred and twenty patients with a chronic unilateral rupture of the anterior cruciate ligament underwent arthroscopically assisted reconstruction with use of either autologous bone-patellar tendon-bone or doubled hamstring tendon grafts, in a strictly alternating manner. Both groups were comparable with regard to demographic data, preoperative activity level, mechanism of injury, interval between the injury and the operation, and the amount of knee laxity present preoperatively. The same well-proven surgical technique and aggressive controlled rehabilitation was used. An independent observer, who was blinded with regard to the involved leg and the type of graft, performed the outcome assessment with use of a visual analog scale, the new International Knee Documentation Committee form, the Knee Injury and Osteoarthritis Outcome Score, the Functional Knee Score for Anterior Knee Pain, and an arthrometric and an isokinetic dynamometric evaluation. Radiographs were also made. RESULTS: At the two-year follow-up evaluation, no differences were found in terms of the visual analog score, the Knee Injury and Osteoarthritis Outcome Score, the new International Knee Documentation Committee subjective and objective evaluation scores, the KT-1000 side-to-side laxity measurements, the Functional Knee Score for Anterior Knee Pain, muscle strength recovery, or return to sports activities. In the bone-patellar tendon-bone group, we found a higher prevalence of postoperative kneeling discomfort (p < 0.01) and an increased area of decreased skin sensitivity (p < 0.001). In the hamstring tendon group, we recorded a higher prevalence of femoral tunnel widening (p < 0.01). In this group, a correlation was also found between medial meniscectomy and an increased prevalence of pivot-shift glide (p = 0.035). CONCLUSIONS: We believe that, with use of accurate and proven surgical and rehabilitation techniques, both grafts are an equivalent option for anterior cruciate ligament reconstruction.",2004,pubmed,ht
364,365,174,15363236,2004 Aug 22,,Zhonghua Wai Ke Za Zhi,"['Sun K', 'Tang JW', 'Xu Q', 'Liu XY', 'Zhou LG', 'Hao YQ', 'Wang L', 'Sun YJ']",Sun YJ,[A prospective study of the anterior cruciate ligament reconstruction: allograft versus autograft].,42,16,989-92,['Chinese'],0153611,0529-5815,,"['Journal Article', 'Randomized Controlled Trial']",PubMed - indexed for MEDLINE,ppublish,['15363236'],,"['2004/09/15 05:00', '2006/11/01 09:00', '2004/09/15 05:00']",[],1,0,Zhonghua wai ke za zhi [Chinese journal of surgery],,2004 Aug 22;42(16):989-92,"OBJECTIVE: To compare the clinical outcomes and differences of arthroscopic anterior cruciate ligament (ACL) reconstruction by using allografts and autografts. METHODS: Fifty-three patients with grade III ACL injuries were divided randomly into 2 groups. Twenty-five cases of group A with autografts of patellar bone-tendon-bone (B-PT-B;n = 15) and 4 strands of semitendinosus/gracilis (n = 10); 28 patients of group B with allografts of B-PT-B (n = 18), 4 strands of semitendinosus/2 strands of gracilis tendons (n = 6) and double tibialis posterior (n = 4) as well as Achilles bone-tendon (n = 2). All procedures were performed endoscopically by some surgeons. All patients were followed up for 12 to 31 months, average 19 months. RESULTS: There were statistically significant differences revealed in physical examination. IKDC and Lysholm-Tegner Score as well as KT-2000 testing was used preoperation and postoperation for both group, but there were no significant differences between the two groups except that group B had less time in operation and longer time in postoperative fever comparing with group A. (2-sample t test, P < 0.05). The KT-2000 side to side difference less than 3 mm were 88% and 86% and more than 5 mm were 4% and 7.1% respectively. The infection rates were 0% and 3.5% for the two groups. CONCLUSION: The clinical outcomes of the allografts and autografts in ACL reconstruction is almost the same. Allografts are a reasonably alternative choice for ACL reconstruction in patients over middle ages and for multiple ligament surgery as well as revision procedures.",2004,pubmed,ht
365,366,175,14977667,2004 Mar,,Am J Sports Med,"['Nurmi JT', 'Kannus P', 'Sievänen H', 'Järvelä T', 'Järvinen M', 'Järvinen TL']",Järvinen TL,Interference screw fixation of soft tissue grafts in anterior cruciate ligament reconstruction: part 2: effect of preconditioning on graft tension during and after screw insertion.,32,2,418-24,['English'],7609541,0363-5465,,"['Clinical Trial', 'Journal Article', 'Randomized Controlled Trial', ""Research Support, Non-U.S. Gov't""]",PubMed - indexed for MEDLINE,ppublish,"['14977667', '10.1177/0363546503261703']",10.1177/0363546503261703,"['2004/02/24 05:00', '2004/05/28 05:00', '2004/02/24 05:00']",[],1,0,The American journal of sports medicine,,2004 Mar;32(2):418-24,"BACKGROUND: Preconditioning of tendon grafts is believed to eliminate natural viscoelasticity of the tendons and prevent knee laxity after anterior cruciate ligament (ACL) reconstruction. HYPOTHESIS: Preconditioned ACL grafts maintain their initially set tension. STUDY DESIGN: Randomized experimental study. METHODS: Forty-two human anterior tibialis (AT) tendon grafts were subjected to either no preconditioning (group 1), cyclic preconditioning (group 2), or isometric preconditioning (group 3). The residual graft tension was then recorded immediately after the application of an initial graft tension of 80 N and fixation into tibia with an interference screw, as well as 10 minutes later. In another experiment, the residual graft tension was recorded 1, 10, and 60 minutes after 10 AT and quadrupled hamstring tendon (HT) grafts alone (no fixation) had been subjected to isometric preconditioning (80 N). RESULTS: Immediately after screw insertion, the residual (AT) graft tensions were 79 +/- 19 N, 100 +/- 17 N, and 102 +/- 15 N in groups 1 through 3, respectively. Ten minutes later, the corresponding values were 49 +/- 16 N, 60 +/- 11 N, and 64 +/- 12 N. For the AT and HT grafts alone, the residual graft tensions were 67 +/- 2 N and 67 +/- 2 N, 45 +/- 2 N and 46 +/- 4 N, and 29 +/- 3 N and 34 +/- 5 N at 1, 10, and 60 minutes, respectively. CONCLUSIONS: A steady decrease (-60% within 60 minutes after initial tensioning) occurs in the initially set tension of the soft tissue ACL grafts. CLINICAL RELEVANCE: Clinically applicable preconditioning protocols cannot eliminate the intrinsic viscoelasticity from ACL soft tissue grafts, and thus, the reasonableness of preconditioning per se is questioned in ACL reconstruction.",2004,pubmed,ht
366,367,176,14754739,2004 Jan-Feb,,Am J Sports Med,"['Arneja S', 'Froese W', 'MacDonald P']",MacDonald P,Augmentation of femoral fixation in hamstring anterior cruciate ligament reconstruction with a bioabsorbable bead: a prospective single-blind randomized clinical trial.,32,1,159-63,['English'],7609541,0363-5465,,"['Clinical Trial', 'Comparative Study', 'Journal Article', 'Randomized Controlled Trial']",PubMed - indexed for MEDLINE,ppublish,"['14754739', '10.1177/0095399703258675']",10.1177/0095399703258675,"['2004/02/03 05:00', '2004/05/27 05:00', '2004/02/03 05:00']",[],1,0,The American journal of sports medicine,,2004 Jan-Feb;32(1):159-63,"BACKGROUND: The EndoPearl is an adjunct to bioabsorbable interference screw fixation in the femoral tunnel in anterior cruciate ligament (ACL) reconstruction. The purpose of the study was to assess the clinical effectiveness of the EndoPearl using the KT-1000 Knee Arthrometer and the Mohtadi ACL Quality of Life (ACL-QOL) Questionnaire. HYPOTHESIS: The application of the EndoPearl in hamstring ACL reconstruction has no significant benefit when compared to conventional treatment in KT-1000 and ACL-QOL Questionnaire outcomes. STUDY DESIGN: Prospective single-blind randomized clinical trial. METHODS: ACL reconstruction with autogenous semitendinosus and gracilis tendons was performed on 35 patients. Preoperatively, 3 months, 6 months, and 18 months postoperatively, patients' knees were evaluated using the KT-1000 Knee Arthrometer and the ACL-QOL Questionnaire. RESULTS: Statistically significant differences were achieved in terms of KT-1000 side-to-side differences between the study group and the control group at 6 months and 18 months postoperatively; the mean side-to-side differences are significantly less in the study group when compared to the control group. Statistically significant differences were not detected when comparing the ACL-QOL Questionnaire between the two groups at all time intervals. CONCLUSION: The application of the EndoPearl in conjunction with a bioscrew in the femoral tunnel in autogenous ACL reconstruction using semitendinosus and gracilis tendon grafts provides a significantly decreased laxity up to 18 months postoperatively in terms of KT-1000 side-to-side differences.",2004,pubmed,ht
367,368,177,13680104,2004 Jan,2003 Sep 9,Knee Surg Sports Traumatol Arthrosc,"['Robert H', 'Es-Sayeh J']",Es-Sayeh J,The role of periosteal flap in the prevention of femoral widening in anterior cruciate ligament reconstruction using hamstring tendons.,12,1,30-5,['English'],9314730,0942-2056,,"['Clinical Trial', 'Journal Article', 'Randomized Controlled Trial']",PubMed - indexed for MEDLINE,ppublish+epublish,"['13680104', '10.1007/s00167-003-0380-9']",10.1007/s00167-003-0380-9,"['2002/10/08 00:00', '2003/02/10 00:00', '2003/09/19 05:00', '2004/08/26 05:00', '2003/09/19 05:00']",[],1,0,"Knee surgery, sports traumatology, arthroscopy : official journal of the ESSKA",,2004 Jan;12(1):30-5,"Tunnel widening in anterior cruciate ligament reconstruction has been reported for many years, whatever the type of plasty (allo- or autograft) or graft (patellar or hamstring tendons). Recently, the hypothesis has been formulated that widening would be responsible for later laxity of the knees. Micromobility of the graft or biological factors are classically responsible for the enlargement. In order to improve the biological conditions around the graft within the tunnel, we have developed a surgical technique using a periosteal flap. The periosteal flap is harvested at the superior and medial metaphysis of the tibia and wrapped around the proximal part of the four strands of gracilis and semitendinosus tendons near the outlet of the femoral tunnel. Forty-one patients with isolated rupture of the ACL were included in a prospective and randomized study: the first group of 20 patients had femoral fixation by Transfix and resorbable screw, the second group of 21 patients had femoral fixation by Transfix and periosteal flap. The diameters of the tunnel were measured between the sclerotic margins at the tunnel entrance and 1 cm above, and compared to the peroperative drill size. The percentage change in diameter was calculated as: (tunnel diameter-drill size)/drill size. The two groups of patients were comparable as to gender, side, age, KT-1000 side to side difference, femoral tunnel diameter and follow-up. At 2.5 months and 11 months postoperatively on average, there was a significant reduction of enlargement at the outlet of the tunnel with the use of a periosteal flap but widening was constant.",2004,pubmed,ht
368,369,178,12975729,2003 Sep,,Sportverletz Sportschaden,"['Tibesku CO', 'Springer J', 'Mastrokalos DS', 'Pässler HH']",Pässler HH,[Internal rotational strength of the thigh after ACL reconstruction. Prospective comparison of harvesting of the semitendinosus and gracilis tendons and the patella tendon].,17,3,137-41,['German'],8904133,0932-0555,,"['Clinical Trial', 'Journal Article', 'Randomized Controlled Trial']",PubMed - indexed for MEDLINE,ppublish,"['12975729', '10.1055/s-2003-42153']",10.1055/s-2003-42153,"['2003/09/17 05:00', '2004/02/06 05:00', '2003/09/17 05:00']",[],1,0,Sportverletzung Sportschaden : Organ der Gesellschaft fur Orthopadisch-Traumatologische Sportmedizin,,2003 Sep;17(3):137-41,"AIM: The aim of the present study was the prospective, randomized evaluation of the internal rotation strength in patients, undergoing ACL reconstruction using either semitendinosus and gracilis tendon autografts (ST/G) or the central third of the patella tendon (BPT). METHOD: 40 patients (20 male, 20 female, average age 32 years [16 - 49]) underwent reconstruction of the ACL. In 20 patients ST/G was used, in 20 matched patients the central third of the patella tendon (BPT) was used. Rehabilitation was identical for both groups. The isometric strength of internal tibial rotation in neutral position was measured preoperatively, 3, 6 and 12 months postoperatively. RESULTS: After 3 months no difference to the preoperative data was found. After six months the internal tibial torque was significantly higher (p < 0.05) than preoperatively. No additional increase was found after 12 months. There was no statistically significant difference between both groups at any time. CONCLUSION: The internal tibial torque, which is predominantly a function of the pes anserinus, recovers shortly after operation and is, due to postoperative rehabilitation, significantly elevated after 6 months. The randomized comparison with the harvesting of the central third of the patellar tendon showed no significant difference.",2003,pubmed,ht
369,370,179,12860546,2003 Jul-Aug,,Am J Sports Med,"['Feller JA', 'Webster KE']",Webster KE,A randomized comparison of patellar tendon and hamstring tendon anterior cruciate ligament reconstruction.,31,4,564-73,['English'],7609541,0363-5465,,"['Clinical Trial', 'Comparative Study', 'Journal Article', 'Randomized Controlled Trial']",PubMed - indexed for MEDLINE,ppublish,"['12860546', '10.1177/03635465030310041501']",10.1177/03635465030310041501,"['2003/07/16 05:00', '2003/12/03 05:00', '2003/07/16 05:00']",[],1,0,The American journal of sports medicine,,2003 Jul-Aug;31(4):564-73,"BACKGROUND: Patellar and hamstring tendon autografts are the most frequently used graft types for anterior cruciate ligament reconstruction, but few direct comparisons of outcomes have been published. HYPOTHESIS: There is no difference in outcome between the two types of reconstruction. STUDY DESIGN: Prospective randomized clinical trial. METHODS: After isolated anterior cruciate ligament rupture, 65 patients were randomized to receive either a patellar tendon or a four-strand hamstring tendon graft reconstruction, and results were reviewed at 4, 8, 12, 24, and 36 months. RESULTS: Pain on kneeling was more common and extension deficits were greater in the patellar tendon group. There were greater quadriceps peak torque deficits in the patellar tendon group at 4 and 8 months but not thereafter. In the hamstring tendon group, active flexion deficits were greater from 8 to 24 months, and KT-1000 arthrometer side-to-side differences in anterior knee laxity at 134 N were greater. Cincinnati knee scores, International Knee Documentation Committee ratings, and rates of return to preinjury activity levels were not significantly different between the two groups. CONCLUSIONS: Both grafts resulted in satisfactory functional outcomes but with increased morbidity in the patellar tendon group and increased knee laxity and radiographic femoral tunnel widening in the hamstring tendon group.",2003,pubmed,ht
